NAME,LAT,LON
AER,43.449902,39.9566
ASF,46.28329849,48.00630188
CEK,55.305801,61.5033
DME,55.40879822,37.90629959
EGO,50.64379883,36.59009933
GYD,40.46749878,50.04669952
KGD,54.88999939,20.59259987
KZN,55.60620117,49.27870178
LED,59.8003006,30.26250076
MRV,44.22510147,43.08190155
NBC,55.56470108,52.09249878
NJC,60.94929886,76.4835968
NUX,66.06939697,76.52030182
OVB,55.01259995,82.65070343
SVX,56.74309921,60.80270004
TGK,47.1983333,38.8491667
UUA,54.63999939,52.80170059
BTK,56.37060165,101.697998
HTA,52.026299,113.306
IKT,52.26800156,104.3889999
MJZ,62.53469849,114.0390015
ODO,57.86610031,114.2429962
UKX,56.8567009,105.7300034
ULK,60.72060013,114.8259964
YKS,62.09329987,129.7709961
AYP,-13.15480042,-74.20439911
CUZ,-13.53569984,-71.938797
HUU,-9.878809929,-76.20480347
IQT,-3.784739971,-73.30879974
LIM,-12.0219,-77.114305
PCL,-8.377940178,-74.57430267
PEM,-12.61359978,-69.22859955
TPP,-6.508739948,-76.37319946
ABJ,5.261390209,-3.926290035
ACC,5.6051898,-0.166786
BKO,12.5335,-7.94994
BOY,11.16009998,-4.33096981
COO,6.357230186,2.384350061
DKR,14.73970032,-17.49020004
LFW,6.165609837,1.254510045
NIM,13.4815,2.18361
OUA,12.3532,-1.51242
BOG,4.70159,-74.1469
CLO,3.54322,-76.3816
GYE,-2.15741992,-79.88359833
OCC,-0.462886006,-76.98680115
SCY,-0.910206,-89.617401
UIO,-0.129166667,-78.3575
BDS,40.6576,17.947001
BOD,44.82830048,-0.715556026
BRS,51.382702,-2.71909
GVA,46.23809814,6.108950138
LCA,34.87509918,33.62490082
LPA,27.93190002,-15.38659954
RMF,25.5571003,34.58369827
TFS,28.04450035,-16.57250023
ZRH,47.464699,8.54917
AJR,65.59030151,19.28190041
ARN,59.65190125,17.91860008
GEV,67.13240051,20.81459999
HAD,56.69110107,12.82019997
HMV,65.80609894,15.08279991
JKG,57.75759888,14.06869984
KOK,63.72119904,23.14310074
KRF,63.04859924,17.76889992
KSD,59.44469833,13.33740044
LYC,64.5483017,18.71619987
MHQ,60.12220001,19.89819908
OER,63.40829849,18.98999977
OSL,60.121,11.0502
POR,61.46170044,21.79999924
TKU,60.51409912,22.26280022
TRF,59.18669891,10.25860024
VBY,57.66279984,18.34620094
VHM,64.57910156,16.83359909
VXO,56.92910004,14.72799969
ADQ,57.75,-152.4940033
AOS,57.471389,-153.815278
KKB,58.190833,-152.370556
KLN,57.53509903,-153.9779968
KOZ,57.922876,-152.500511
SYB,58.166667,-152.5
BSO,20.4513,121.980003
BXU,8.9515,125.4788
CBO,7.165239811,124.2099991
CGY,8.612203,124.456496
CRM,12.5024004,124.6360016
DGT,9.333709717,123.3000031
DWC,24.896356,55.161389
GES,6.058000088,125.0960007
KLO,11.67940044,122.3759995
LGP,13.1575,123.735
MNL,14.5086,121.019997
MPH,11.9245,121.954002
OZC,8.178509712,123.8420029
PPS,9.742119789,118.7590027
RXS,11.59770012,122.7519989
SUG,9.755838326,125.4809475
TUG,17.64336768,121.7331505
ZAM,6.922420025,122.0599976
AUX,-7.22787,-48.240501
BRA,-12.07890034,-45.00899887
BSB,-15.86916733,-47.92083359
CAC,-25.00029945,-53.50080109
CGB,-15.65289974,-56.11669922
CGR,-20.46870041,-54.67250061
DOU,-22.2019,-54.926601
GIG,-22.80999947,-43.25055695
GRU,-23.43555641,-46.47305679
GYN,-16.63199997,-49.22069931
OPS,-11.88500023,-55.58610916
PLU,-19.8512001,-43.95059967
PMW,-10.29150009,-48.35699844
RAO,-21.13638878,-47.77666855
SJP,-20.8166008,-49.40650177
SSA,-12.9086113,-38.32249832
UBA,-19.76472282,-47.96611023
UDI,-18.883612,-48.225277
VDC,-14.86279964,-40.86309814
BRL,40.78319931,-91.12550354
DEC,39.83459854,-88.86569977
JBR,35.83169937,-90.64640045
ORD,41.9786,-87.9048
STL,38.748697,-90.370003
CGA,55.478889,-133.147778
HYL,55.481667,-132.646111
KTB,55.688056,-132.536667
KTN,55.35559845,-131.7140045
MTM,55.131001,-131.578003
BCN,41.2971,2.07846
BJL,13.3380003,-16.6522007
CKY,9.57689,-13.612
DLA,4.006080151,9.719479561
FNA,8.61644,-13.1955
LGW,51.148102,-0.190278
LOS,6.577370167,3.321160078
OXB,11.89480019,-15.65369987
ROB,6.23379,-10.3623
AKV,60.8185997,-78.14859772
XGR,58.71139908,-65.99279785
YGL,53.62530136,-77.70420074
YGW,55.2818985,-77.76529694
YIK,62.41730118,-77.9253006
YKG,60.02719879,-69.99919891
YKL,54.80530167,-66.80529785
YPH,58.47190094,-78.07689667
YPJ,59.29669952,-69.59970093
YPX,60.05059814,-77.28690338
YQB,46.7911,-71.393303
YQC,61.04639816,-69.61779785
YSK,56.53779984,-79.24669647
YTQ,58.6678009,-69.95580292
YUD,56.53609848,-76.51830292
YUL,45.47060013,-73.74079895
YUY,48.20610046,-78.83560181
YVP,58.09609985,-68.42690277
YWB,61.58860016,-71.92939758
YWK,52.9219017,-66.86440277
YZG,62.1794014,-75.66719818
YZV,50.22330093,-66.26560211
JIB,11.54730034,43.15950012
MGQ,2.01444006,45.30469894
NBO,-1.319239974,36.92779922
BKK,13.68109989,100.7470016
DRW,-12.41469955,130.8769989
HAK,19.93490028,110.4589996
HGH,30.22949982,120.4339981
HKG,22.308901,113.915001
HKT,8.1132,98.316902
KIX,34.4272995,135.2440033
KUL,2.745579958,101.7099991
PEN,5.297140121,100.2770004
PER,-31.94029999,115.9670029
PNH,11.54660034,104.8440018
REP,13.41069984,103.8130035
RGN,16.90730095,96.1332016
SGN,10.81879997,106.6520004
SIN,1.35019,103.994003
SWA,23.552,116.5033
TPE,25.0777,121.233002
ACH,47.48500061,9.560770035
DRS,51.13280106,13.76720047
DUS,51.289501,6.76678
EBA,42.7603,10.2394
FDH,47.67129898,9.511489868
FMM,47.98880005,10.23950005
GRZ,46.99110031,15.43959999
HAM,53.63040161,9.988229752
MUC,48.353802,11.7861
NAP,40.886002,14.2908
